workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,best_points_per_sec,worst_points_per_sec,logical_mib_per_sec,p50_us,p95_us,p99_us,max_us,sync_p50_ms,sync_p95_ms,sync_p99_ms,sync_max_ms,file_bytes,bytes_per_point,latency_scope
range-10-raw-warm,nanots,5,655190.6400670711,703202.7368650518,637968.8745066036,6551906.400670711,7032027.368650518,6379688.7450660365,99.97415772507799,1.458,1.875,2.916,28.083,0.0,0.0,0.0,0.0,85073920.0,85.07392,operation
range-10-raw-warm,sqlite,5,296103.5000173961,311627.2411670256,276735.5034700903,2961035.000173961,3116272.4116702555,2767355.0347009026,45.18180847433412,3.334,3.709,4.208,65.667,0.0,0.0,0.0,0.0,35966976.0,35.966976,operation
range-100-compressed-warm,chronotail,5,991094.1960403944,1023904.7666995617,984617.4011118221,99109419.60403943,102390476.66995618,98461740.11118221,1512.28972784484,0.792,1.042,1.167,145.208,0.0,0.0,0.0,0.0,5828384.0,0.5828384,operation
range-100-raw-warm,chronotail,5,1218375.5398926612,1387925.8611087601,1120418.8914591174,121837553.98926611,138792586.11087602,112041889.14591174,1859.093536213167,0.5,0.833,1.125,210.5,0.0,0.0,0.0,0.0,16249408.0,1.6249408,operation
range-100-raw-warm,nanots,5,105697.8496473266,108978.40374972891,101677.23802876908,10569784.96473266,10897840.374972891,10167723.802876906,161.28211921283966,9.375,10.083,11.541,89.959,0.0,0.0,0.0,0.0,85073920.0,8.507392,operation
range-100-raw-warm,sqlite,5,99280.96180393541,103643.35775019522,97987.04402173682,9928096.180393541,10364335.775019523,9798704.402173681,151.490725408837,9.958,10.667,11.5,103.917,0.0,0.0,0.0,0.0,35966976.0,3.5966976,operation
range-1000-compressed-warm,chronotail,5,216084.598970181,221730.35039492947,206030.92020160594,216084598.970181,221730350.39492947,206030920.20160595,3297.1893153408964,4.292,4.667,4.916,175.292,0.0,0.0,0.0,0.0,5828384.0,0.05828384,operation
range-1000-raw-warm,chronotail,5,567939.1274664857,627928.3714320395,448315.4832638271,567939127.4664857,627928371.4320395,448315483.2638271,8666.063346351406,1.375,1.875,2.209,228.917,0.0,0.0,0.0,0.0,16249408.0,0.16249408,operation
range-1000-raw-warm,nanots,5,11381.131565823767,11727.592421900592,11172.61532438423,11381131.565823767,11727592.42190059,11172615.32438423,173.6622858554652,86.917,91.709,101.5,6598.292,0.0,0.0,0.0,0.0,85073920.0,0.8507392,operation
range-1000-raw-warm,sqlite,5,13021.201321299111,13419.261410591114,12346.622664715944,13021201.321299111,13419261.410591114,12346622.664715944,198.68776430204943,76.083,80.625,91.875,821.0,0.0,0.0,0.0,0.0,35966976.0,0.35966976,operation
range-10000-compressed-warm,chronotail,5,23021.573935928005,23477.06024045562,19386.607731379165,230215739.35928005,234770602.4045562,193866077.31379166,3512.813405750733,39.208,41.916,106.292,478.75,0.0,0.0,0.0,0.0,5828384.0,0.05828384,operation
range-10000-raw-warm,chronotail,5,95055.9418000605,99758.50063133166,94012.57418179682,950559418.0006049,997585006.3133165,940125741.8179681,14504.385650643995,5.959,7.042,106.0,446.459,0.0,0.0,0.0,0.0,16249408.0,0.16249408,operation
range-10000-raw-warm,nanots,5,1150.8491324539598,1179.1542334010853,1142.450517429743,11508491.324539598,11791542.334010853,11424505.174297431,175.60564154876096,862.459,899.917,932.792,3681.042,0.0,0.0,0.0,0.0,85073920.0,0.8507392,operation
